[2025-01-19T18:17:13.359Z] debug: 	Importing configs...
[2025-01-19T18:18:51.600Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\register
[2025-01-19T18:18:51.607Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\login
[2025-01-19T18:18:51.609Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\get
[2025-01-19T18:18:51.613Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\info
[2025-01-19T18:18:51.623Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:18:51.631Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\loadedServerMods
[2025-01-19T18:18:51.634Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\serverModsUsedByProfile
[2025-01-19T18:18:51.639Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\login
[2025-01-19T18:18:51.641Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\get
[2025-01-19T18:18:51.643Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\info
[2025-01-19T18:18:51.644Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:18:54.321Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\login
[2025-01-19T18:18:54.323Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\get
[2025-01-19T18:18:54.325Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\info
[2025-01-19T18:18:54.327Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:18:54.347Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:19:03.839Z] debug: 	Saved 1 profiles, took: 3.74ms
[2025-01-19T18:19:03.973Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\bossconvert
[2025-01-19T18:19:07.870Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\settings\version
[2025-01-19T18:19:07.873Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\release
[2025-01-19T18:19:07.893Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\enableBSGlogging
[2025-01-19T18:19:07.897Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\moddedTraders
[2025-01-19T18:19:08.543Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\bundles
[2025-01-19T18:19:14.029Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\settings\version
[2025-01-19T18:19:14.140Z] info: 	[Запрос клиента] 26.92.57.200 \client\menu\locale\ru
[2025-01-19T18:19:14.200Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\mode
[2025-01-19T18:19:14.255Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\start
[2025-01-19T18:19:14.320Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\version\validate
[2025-01-19T18:19:14.373Z] info: 	[Запрос клиента] 26.92.57.200 \client\languages
[2025-01-19T18:19:14.486Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\config
[2025-01-19T18:19:15.807Z] info: 	[Запрос клиента] 26.92.57.200 \client\items
[2025-01-19T18:19:23.851Z] debug: 	Saved 1 profiles, took: 0.09ms
[2025-01-19T18:19:24.488Z] info: 	[Запрос клиента] 26.92.57.200 \client\customization
[2025-01-19T18:19:24.686Z] info: 	[Запрос клиента] 26.92.57.200 \client\globals
[2025-01-19T18:19:25.434Z] info: 	[Запрос клиента] 26.92.57.200 \client\trading\api\traderSettings
[2025-01-19T18:19:25.504Z] info: 	[Запрос клиента] 26.92.57.200 \client\settings
[2025-01-19T18:19:25.554Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\list
[2025-01-19T18:19:25.700Z] info: 	[Запрос клиента] 26.92.57.200 \client\account\customization
[2025-01-19T18:19:25.748Z] info: 	[Запрос клиента] 26.92.57.200 \client\locale\ru
[2025-01-19T18:19:43.878Z] debug: 	Saved 1 profiles, took: 0.10ms
[2025-01-19T18:19:52.639Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\create
[2025-01-19T18:19:52.641Z] debug: 	Quest Production Unlock validation took: 0.00ms
[2025-01-19T18:19:52.641Z] debug: 	Updating generator area slots to a size of 6 + hideout management skill
[2025-01-19T18:19:52.641Z] debug: 	Updating water collector area slots to a size of 1 + hideout management skill
[2025-01-19T18:19:52.641Z] debug: 	Updating air filter area slots to a size of 3 + hideout management skill
[2025-01-19T18:19:52.641Z] debug: 	Updating bitcoin farm area slots to a size of 50 + hideout management skill
[2025-01-19T18:19:52.641Z] debug: 	Updating cultist area slots to a size of 1
[2025-01-19T18:19:52.716Z] debug: 	generated player scav loadout with karma level 6
[2025-01-19T18:19:52.762Z] debug: 	Failed placing item: 3 of: 4 items into: assault containers: Pockets,TacticalVest. Tried: 4 times, reason: NO_SPACE, skipping
[2025-01-19T18:19:52.856Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\list
[2025-01-19T18:19:53.070Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\select
[2025-01-19T18:19:53.127Z] info: 	[Запрос клиента] 26.92.57.200 \client\profile\status
[2025-01-19T18:19:53.182Z] info: 	[Запрос клиента] 26.92.57.200 \client\weather
[2025-01-19T18:19:53.184Z] info: 	[Запрос клиента] 26.92.57.200 \client\locations
[2025-01-19T18:19:53.184Z] debug: 	Map: base has no base json file, skipping generation
[2025-01-19T18:19:54.190Z] info: 	[Запрос клиента] 26.92.57.200 \client\handbook\templates
[2025-01-19T18:19:55.305Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\info
[2025-01-19T18:19:55.307Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:19:55.309Z] info: 	[Запрос клиента] 26.92.57.200 \files\launcher\side_bear.png
[2025-01-19T18:19:56.031Z] info: 	[Запрос клиента] 26.92.57.200 \client\hideout\areas
[2025-01-19T18:19:56.171Z] info: 	[Запрос клиента] 26.92.57.200 \client\hideout\qte\list
[2025-01-19T18:19:56.211Z] info: 	[Запрос клиента] 26.92.57.200 \client\hideout\settings
[2025-01-19T18:19:56.261Z] info: 	[Запрос клиента] 26.92.57.200 \client\hideout\production\recipes
[2025-01-19T18:19:56.397Z] info: 	[Запрос клиента] 26.92.57.200 \client\builds\list
[2025-01-19T18:19:58.761Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\log
[2025-01-19T18:19:58.762Z] debug: 	[SPT.Core] 1184960
[2025-01-19T18:19:58.765Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\log
[2025-01-19T18:19:58.765Z] debug: 	[SPT.Core] 1498960
[2025-01-19T18:19:58.767Z] info: 	[Запрос клиента] 26.92.57.200 \singleplayer\log
[2025-01-19T18:19:58.768Z] debug: 	[SPT.Core] 0
[2025-01-19T18:20:00.524Z] info: 	[Запрос клиента] 26.92.57.200 \client\notifier\channel\create
[2025-01-19T18:20:00.525Z] info: 	[Запрос клиента] 26.92.57.200 \client\profile\status
[2025-01-19T18:20:00.526Z] info: 	[Запрос клиента] 26.92.57.200 \client\trading\customization\storage
[2025-01-19T18:20:00.560Z] info: 	[WS] Игрок: Graf (678d420b00052b2c76b7d68c) присоединился
[2025-01-19T18:20:00.560Z] info: 	WebSocketHandler "SPT WebSocket Handler" connected
[2025-01-19T18:20:00.582Z] info: 	[Запрос клиента] 26.92.57.200 \client\server\list
[2025-01-19T18:20:00.583Z] info: 	[Запрос клиента] 26.92.57.200 \client\match\group\current
[2025-01-19T18:20:00.584Z] info: 	[Запрос клиента] 26.92.57.200 \client\friend\list
[2025-01-19T18:20:00.585Z] info: 	[Запрос клиента] 26.92.57.200 \client\friend\request\list\inbox
[2025-01-19T18:20:00.585Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\list
[2025-01-19T18:20:00.586Z] info: 	[Запрос клиента] 26.92.57.200 \client\friend\request\list\outbox
[2025-01-19T18:20:00.587Z] info: 	[Запрос клиента] 26.92.57.200 \client\quest\list
[2025-01-19T18:20:02.744Z] info: 	[Запрос клиента] 26.92.57.200 \client\achievement\statistic
[2025-01-19T18:20:02.805Z] info: 	[Запрос клиента] 26.92.57.200 \client\achievement\list
[2025-01-19T18:20:02.998Z] info: 	[Запрос клиента] 26.92.57.200 \client\repeatalbeQuests\activityPeriods
[2025-01-19T18:20:02.998Z] debug: 	Generating new daily
[2025-01-19T18:20:03.021Z] debug: 	Generating: Daily quest for: 54cb57776803fa99248b456e with budget: 23376 totalling: 4 items
[2025-01-19T18:20:03.022Z] debug: 	Added item: 59e3577886f774176a362503 with price: 21489
[2025-01-19T18:20:03.022Z] debug: 	Reward pool empty with: 1887 roubles of budget remaining
[2025-01-19T18:20:03.022Z] debug: 	Adding: 0.01 54cb57776803fa99248b456e trader reputation reward
[2025-01-19T18:20:03.060Z] debug: 	Generating: Daily quest for: 54cb50c76803fa8b248b4571 with budget: 79423 totalling: 2 items
[2025-01-19T18:20:03.061Z] debug: 	Added item: 5d0376a486f7747d8050965c with price: 80000
[2025-01-19T18:20:03.061Z] debug: 	Adding: 0.03 54cb50c76803fa8b248b4571 trader reputation reward
[2025-01-19T18:20:03.061Z] debug: 	  Adding 40 skill points to Strength
[2025-01-19T18:20:03.125Z] debug: 	Generating: Daily quest for: 58330581ace78e27b8b10cee with budget: 100671 totalling: 4 items
[2025-01-19T18:20:03.128Z] debug: 	Added item: 5f745ee30acaeb0d490d8c5b with price: 110000
[2025-01-19T18:20:03.128Z] debug: 	Adding: 0.03 58330581ace78e27b8b10cee trader reputation reward
[2025-01-19T18:20:03.128Z] debug: 	Generating new weekly
[2025-01-19T18:20:03.146Z] debug: 	Generating: Weekly quest for: 54cb57776803fa99248b456e with budget: 672773 totalling: 2 items
[2025-01-19T18:20:03.148Z] debug: 	Added item: 590c657e86f77412b013051d with price: 35042
[2025-01-19T18:20:03.149Z] debug: 	Adding: 0.02 54cb57776803fa99248b456e trader reputation reward
[2025-01-19T18:20:03.150Z] debug: 	Generating new daily_savage
[2025-01-19T18:20:03.163Z] debug: 	Generating: Daily_Savage quest for: 579dc571d53a0658a154fbec with budget: 31732 totalling: 3 items
[2025-01-19T18:20:03.164Z] debug: 	Added item: 5cf13123d7f00c1085616a50 with price: 21000
[2025-01-19T18:20:03.164Z] debug: 	Reward pool empty with: 10732 roubles of budget remaining
[2025-01-19T18:20:03.164Z] debug: 	Adding: 0.02 579dc571d53a0658a154fbec trader reputation reward
[2025-01-19T18:20:03.249Z] info: 	[Запрос клиента] 26.92.57.200 \client\survey
[2025-01-19T18:20:03.915Z] debug: 	Saved 1 profiles, took: 10.17ms
[2025-01-19T18:20:22.792Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\59b91ca086f77469a81232e4.jpg
[2025-01-19T18:20:22.797Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\59b91cab86f77469aa5343ca.jpg
[2025-01-19T18:20:22.797Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\59b91cb486f77469a81232e5.jpg
[2025-01-19T18:20:22.801Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\59b91cbd86f77469aa5343cb.jpg
[2025-01-19T18:20:22.802Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\5a7c2ebb86f7746e324a06ab.jpg
[2025-01-19T18:20:22.805Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\5ac3b86a86f77461491d1ad8.jpg
[2025-01-19T18:20:22.806Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\5c06531a86f7746319710e1b.jpg
[2025-01-19T18:20:22.807Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\579dc571d53a0658a154fbec.jpg
[2025-01-19T18:20:22.809Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\638f541a29ffd1183d187f57.png
[2025-01-19T18:20:22.853Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:20:23.957Z] debug: 	Saved 1 profiles, took: 10.87ms
[2025-01-19T18:20:24.367Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:20:25.950Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:20:31.565Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:20:31.566Z] debug: 	event: Move
[2025-01-19T18:20:31.566Z] debug: 	event: Move
[2025-01-19T18:20:31.566Z] debug: 	event: Move
[2025-01-19T18:20:31.566Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.567Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:31.569Z] debug: 	event: Move
[2025-01-19T18:20:37.350Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:20:40.177Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:20:42.433Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:20:42.433Z] debug: 	event: Move
[2025-01-19T18:20:42.433Z] debug: 	event: Move
[2025-01-19T18:20:42.433Z] debug: 	event: Move
[2025-01-19T18:20:42.433Z] debug: 	event: Move
[2025-01-19T18:20:42.434Z] debug: 	event: Move
[2025-01-19T18:20:42.434Z] debug: 	event: Move
[2025-01-19T18:20:42.434Z] debug: 	event: Move
[2025-01-19T18:20:42.434Z] debug: 	event: Move
[2025-01-19T18:20:43.989Z] debug: 	Saved 1 profiles, took: 23.02ms
[2025-01-19T18:20:46.335Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:20:47.187Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:20:50.544Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.545Z] debug: 	event: Move
[2025-01-19T18:20:50.546Z] debug: 	event: Move
[2025-01-19T18:20:50.546Z] debug: 	event: Move
[2025-01-19T18:20:50.546Z] debug: 	event: Move
[2025-01-19T18:20:55.039Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:20:55.311Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\info
[2025-01-19T18:20:55.312Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:20:55.954Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:21:02.074Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.075Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:02.077Z] debug: 	event: Move
[2025-01-19T18:21:04.021Z] debug: 	Saved 1 profiles, took: 13.66ms
[2025-01-19T18:21:05.164Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:21:06.081Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:21:09.221Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.222Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.223Z] debug: 	event: Move
[2025-01-19T18:21:09.224Z] debug: 	event: Move
[2025-01-19T18:21:09.224Z] debug: 	event: Move
[2025-01-19T18:21:12.875Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:21:13.545Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:21:15.836Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:21:15.837Z] debug: 	event: Move
[2025-01-19T18:21:21.741Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:21:22.451Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:21:24.064Z] debug: 	Saved 1 profiles, took: 14.43ms
[2025-01-19T18:21:25.901Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:21:25.901Z] debug: 	event: Move
[2025-01-19T18:21:25.902Z] debug: 	event: Move
[2025-01-19T18:21:30.560Z] debug: 	[WS] Пингуем игрока: 678d420b00052b2c76b7d68c
[2025-01-19T18:21:30.723Z] info: 	[Запрос клиента] 26.92.57.200 \files\trader\avatar\6617beeaa9cfa777ca915b7c.png
[2025-01-19T18:21:31.426Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:21:32.291Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:21:33.326Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\view
[2025-01-19T18:21:34.186Z] info: 	[Запрос клиента] 26.92.57.200 \client\mail\dialog\getAllAttachments
[2025-01-19T18:21:39.511Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:21:39.511Z] debug: 	event: Move
[2025-01-19T18:21:39.511Z] debug: 	event: Move
[2025-01-19T18:21:39.511Z] debug: 	event: Move
[2025-01-19T18:21:39.511Z] debug: 	event: Move
[2025-01-19T18:21:39.511Z] debug: 	event: Move
[2025-01-19T18:21:39.512Z] debug: 	event: Move
[2025-01-19T18:21:39.512Z] debug: 	event: Move
[2025-01-19T18:21:39.512Z] debug: 	event: Move
[2025-01-19T18:21:44.094Z] debug: 	Saved 1 profiles, took: 13.06ms
[2025-01-19T18:21:55.302Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\info
[2025-01-19T18:21:55.304Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:22:04.123Z] debug: 	Saved 1 profiles, took: 13.43ms
[2025-01-19T18:22:24.169Z] debug: 	Saved 1 profiles, took: 16.11ms
[2025-01-19T18:22:39.613Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:22:39.613Z] debug: 	event: Examine
[2025-01-19T18:22:39.613Z] debug: 	event: Examine
[2025-01-19T18:22:39.614Z] debug: 	event: Examine
[2025-01-19T18:22:39.614Z] debug: 	event: Examine
[2025-01-19T18:22:39.614Z] debug: 	event: Examine
[2025-01-19T18:22:39.614Z] debug: 	event: Examine
[2025-01-19T18:22:39.614Z] debug: 	event: Examine
[2025-01-19T18:22:39.614Z] debug: 	event: Examine
[2025-01-19T18:22:39.614Z] debug: 	event: Examine
[2025-01-19T18:22:44.210Z] debug: 	Saved 1 profiles, took: 18.13ms
[2025-01-19T18:22:55.312Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\profile\info
[2025-01-19T18:22:55.320Z] info: 	[Запрос клиента] 26.92.57.200 \launcher\server\version
[2025-01-19T18:23:00.564Z] debug: 	[WS] Пингуем игрока: 678d420b00052b2c76b7d68c
[2025-01-19T18:23:04.239Z] debug: 	Saved 1 profiles, took: 16.58ms
[2025-01-19T18:23:24.264Z] debug: 	Saved 1 profiles, took: 12.07ms
[2025-01-19T18:23:39.623Z] info: 	[Запрос клиента] 26.92.57.200 \client\game\profile\items\moving
[2025-01-19T18:23:39.624Z] debug: 	event: Move
